,キャッチコピー,ステータス,企業名,初年度年収
75,【システムエンジニア】◆プライム案件/希望エリア配属※WEB面接 正社員,正社員,NTT東日本グループ会社合同募集 | フレックスタイム・テレワーク/安心して長く働ける福利厚生,
76,NTTグループで活躍する【土木技術者】※関連資格必須・全国募集 正社員,正社員,エヌ・ティ・ティ・インフラネット株式会社 | 土日祝休み／年間休日140日／有給100％取得／残業月平均16時間,300万円～550万円
77,★安定と挑戦を両立できる会社【ITエンジニア(開発／インフラ)】 正社員,正社員,株式会社KDDIエボルバ | 東証1部上場企業グループ◆テレワーク可！賞与年2回／年休123日,350万円～650万円
78,還元率70%超／平均残業10h／待機給与100%支給【ITエンジニア】 正社員,正社員,フルウィル株式会社 | 上場グループ／9割以上が前給与UP入社／年休130日／案件完全選択,384万円～1000万円
79,未経験OK！【営業総合職（営業所長候補）】年休125日／賞与4カ月 正社員,正社員,富国生命保険相互会社 | 経営安定、待遇・福利厚生充実の企業が中途採用を実施！,350万円～650万円
80,日本のモノづくりを支える【ITエンジニア】※フレックスタイム制 正社員,正社員,株式会社NTTデータMHIシステムズ | ★NTTデータと三菱重工業の共同出資 ★定着率99％ ★面接1回！,450万円～850万円
81,2ヶ月間の研修からstart ⇒ 圧倒的に成長できる【ITエンジニア】 正社員,正社員,株式会社アルファシステムズ | 【東証一部上場企業／社員定着率97.1％】★男性も女性も大歓迎,350万円～500万円
82,前職給与保証◎経験に応じて収入決定【PG・SE】※年間休日130日 正社員,正社員,株式会社ココロザシ | 年収例：600万円(入社1年・27歳)／700万円(入社1年・30歳),540万円～1000万円
83,開発経験が積める環境あり！【ITエンジニア】◎経験者は前給保証 正社員,正社員,株式会社シャフト | ◎入社祝い金10万円／年休130日以上／エンジニアファースト◎,400万円～1000万円
84,【IT総合職（SE・ITコンサル）】土日祝休み／新規事業立上げ！ 正社員,正社員,株式会社RCIエージェンシー | 家族や大切な人を最優先できる環境！売上高は前年度比300％UP！,400万円～1200万円
85,未経験歓迎の【初級エンジニア】年休128日*土日祝休み*残業少！ 正社員,正社員,サーヴェイトコンサルティング株式会社 | 【経験者は前給保証】*テレワーク案件有*20～30代活躍中*面接1回,300万円～1000万円
86,【ITエンジニア】★リモートワーク制度・福利厚生充実！ 正社員,正社員,株式会社ユニオン・テクノロジー | SE経験ある方歓迎！残業月10時間以下、完全週休2日制,450万円～700万円
87,""" 人の役に立つ仕事 ""を始めませんか？【 総合職 】地域限定採用 正社員",正社員,株式会社ランテック | 【大阪府緊急雇用対策に賛同】東証一部上場「センコーグループ」,
88,20～30代活躍中【ITエンジニア】★月給31万2500円～★土日祝休み 正社員,正社員,株式会社クルコム | <上流に挑戦したい方大歓迎>経験の浅い方でも大丈夫です！！,500万円～800万円
89,【リードエンジニア】★プライム案件のみ★上流工程★月給50万～ 正社員,正社員,株式会社MIRAILABS | ◆年休130日◆残業ほぼなし◆土日祝休◆服装自由◆リモート5割,600万円～1000万円
90,"""超""充実の研修で成長をサポート【エンジニア】☆残業月20h程度 正社員",正社員,株式会社Rexcross | ☆年間休日124日以上☆リモートワーク導入☆自社内受託案件約8割,300万円～700万円
91,★年休130日★7~8割がテレワーク★月給35万円【開発エンジニア】 正社員,正社員,株式会社i-tech | 設立1年で2拠点開設/在宅7～8割/残業ほぼなし/資格取得支援有,420万円～1100万円
92,Webやモバイル開発の経験を活かせる【エンジニア】★土日祝休み 正社員,正社員,株式会社アイビス | 《 転勤なし 》お絵かきアプリ「ibisPaint」が1億3000万DL突破！,350万円～600万円
93,【Web開発エンジニア】★経験者・未経験者・第二新卒歓迎！ 正社員,正社員,株式会社エデルタ | ◆経験者は前職給以上提示◆リモート勤務中心／出社は週1日程度,350万円～800万円
94,安定した環境で経験・スキルを活かす【ITエンジニア】未経験OK 正社員,正社員,株式会社ジャコム | 年休122日/残業月平均21.7H/賞与年3回(8ヶ月分支給：昨年度実績),300万円～640万円
95,【システム導入アドバイザー】★未経験歓迎★年収600万円も可能 正社員,正社員,株式会社アセンド | 【年休120日以上/土日祝休/研修も充実/20～30代若手活躍中】,300万円～600万円
96,【WEBエンジニア】◆GoやElixirなど最新言語・技術での開発 正社員,正社員,株式会社Days | ◆100%自社内開発◆在宅勤務◆ゲーム/アニメ/SNS等の案件多数,360万円～600万円
97,待遇も楽しさもやりがいも手に入る！【SE・PG】★定着率93%★ 正社員,正社員,株式会社レッティ | Web面接実施中！年休125日・月平均残業時間14.5Hで働きやすさ◎,350万円～600万円
98,直請けが基本【ITエンジニア／開発・インフラ】新部署もスタート 正社員,正社員,株式会社ISS | ★未経験・経験者とも歓迎★設立以来13期連続黒字★年1回9連休,250万円～700万円
99,前職給与保証！【ITエンジニア】★20代活躍中★残業ほぼナシ 正社員,正社員,株式会社アールラーニング | キャリアプラン制度、評価面談で年収12万円アップは当たり前！,350万円～450万円
